"num_of_columns","columns","wlp"
"4","1 2 4 8","0 0 0 0"
"4","1 2 4 3","0 0 1 0"
"4","1 2 4 7","0 0 0 1"
"5","1 2 4 8 15","0 0 0 0 1"
"5","1 2 4 8 7","0 0 0 1 0"
"5","1 2 4 8 3","0 0 1 0 0"
"5","1 2 4 3 5","0 0 2 1 0"
"6","1 2 4 8 7 11","0 0 0 3 0 0"
"6","1 2 4 8 3 13","0 0 1 1 1 0"
"6","1 2 4 8 3 12","0 0 2 0 0 1"
"6","1 2 4 8 3 5","0 0 2 1 0 0"
"6","1 2 4 3 5 6","0 0 4 3 0 0"
"7","1 2 4 8 7 11 13","0 0 0 7 0 0 0"
"7","1 2 4 8 3 5 14","0 0 2 3 2 0 0"
"7","1 2 4 8 3 5 10","0 0 3 2 1 1 0"
"7","1 2 4 8 3 5 9","0 0 3 3 0 0 1"
"7","1 2 4 8 3 5 6","0 0 4 3 0 0 0"
"7","1 2 4 3 5 6 7","0 0 7 7 0 0 1"
