"idx","num_of_columns","a_columns","wlp","is_comp","b_columns","s22_max","subgroup_idx","subgroup_size"
70,10,"1 2 4 8 16 15 19 21 25 30","0 10 16 0 0 5 0 0",FALSE,"28 5 18 6 10 3 11 10 13 9",44,1,50
122,11,"1 2 4 8 16 15 19 21 25 30 3","2 14 22 8 6 9 2 0 0",FALSE,"10 5 24 23 6 18 9 14 13 12 5",52,3,67
197,12,"1 2 4 8 16 31 7 11 21 13 17 3","5 19 29 25 23 16 7 3 0 0",FALSE,"14 25 18 6 10 5 27 22 12 19 9 20",61,11,91
288,13,"1 2 4 8 16 15 19 21 25 30 3 5 10","7 26 48 48 46 45 24 8 3 0 0",FALSE,"28 20 9 6 7 18 9 13 6 12 20 11 17",70,11,113
404,14,"1 2 4 8 16 15 19 21 25 30 3 5 10 29","10 34 72 93 92 93 72 34 10 0 0 1",FALSE,"12 9 18 20 11 6 12 7 14 6 13 17 17 7",80,14,129
405,14,"1 2 4 8 16 15 19 21 25 30 3 5 10 12","10 35 72 88 92 103 72 24 10 5 0 0",FALSE,"22 9 18 18 13 23 7 9 6 6 13 17 17 7",80,15,129
543,15,"1 2 4 8 16 15 19 21 25 3 29 5 27 7 14","14 45 102 160 180 195 180 96 30 15 6 0 0",FALSE,"30 20 24 22 10 6 11 9 6 17 12 18 12 10 20",91,24,145
635,16,"7 9 11 13 14 18 20 22 23 24 26 27 28 29 30 31","18 45 82 160 220 195 140 96 50 15 2 0 0",TRUE,"2 3 3 5 4 1 1 6 6 1 15 2 12 4 15 12",101,109,131
482,17,"3 6 9 12 14 15 18 19 22 23 24 25 26 27 28 29 30","14 33 56 96 116 91 56 32 14 3 0 0",TRUE,"1 1 4 4 5 5 7 7 2 8 13 8 10 11 13 2 1",110,85,113
477,17,"6 7 9 11 13 14 18 20 22 23 24 26 27 28 29 30 31","14 31 56 104 116 79 56 40 14 1 0 0",TRUE,"3 2 1 4 2 4 1 1 3 4 8 3 2 12 12 15 10",110,80,113
366,18,"5 6 7 9 10 11 13 14 18 20 22 23 24 26 27 28 30 31","12 23 32 56 64 39 16 8 4 1 0",TRUE,"16 19 3 1 2 3 1 19 3 4 15 4 1 15 2 12 15 2",120,75,88
364,18,"3 5 7 10 11 12 13 14 18 20 22 24 25 26 27 28 29 30","12 22 33 60 60 33 22 12 0 0 1",TRUE,"16 1 16 2 2 4 4 17 1 1 6 15 6 15 8 9 2 15",120,74,88
247,19,"5 6 7 9 10 11 13 14 18 20 22 23 24 26 27 28 29 30 31","9 14 20 36 30 9 4 4 1 0",TRUE,"16 2 3 16 2 3 1 1 2 1 3 4 1 3 8 15 12 15 12",128,41,55
138,20,"5 6 7 10 11 12 13 14 17 18 20 22 23 24 25 26 27 29 30 31","5 10 16 16 10 5 0 0 1",TRUE,"16 9 3 2 2 3 2 1 1 1 1 3 4 4 9 9 8 8 2 3",136,9,25
70,21,"3 5 6 7 9 10 11 12 13 14 17 18 20 22 23 24 26 27 28 29 31","0 10 16 0 0 5 0 0",TRUE,"1 1 2 25 16 19 4 21 2 16 1 1 1 8 2 8 4 8 15 8 15",142,1,13
37,22,"3 5 6 7 9 10 11 12 13 14 17 18 20 23 24 25 26 27 28 29 30 31","0 7 7 0 0 0 1",TRUE,"16 1 16 8 1 2 4 4 2 1 4 1 2 2 8 15 15 8 15 8 8 15",133,1,2
