"idx","num_of_columns","columns","wlp","is_comp"
390,11,"1 2 5 14 22 9 24 31 34 39 3","3 42 111 132",FALSE
391,11,"1 2 5 14 22 9 24 31 3 25 13","3 48 84 177",FALSE
392,11,"1 2 5 14 22 9 24 25 7 12 18","3 54 63 195",FALSE
792,12,"1 2 5 14 22 9 24 31 3 25 13 37","4 72 144 354",FALSE
793,12,"1 2 5 14 22 9 24 25 7 12 18 38","4 81 108 390",FALSE
1599,13,"1 2 5 14 22 9 24 31 3 25 13 37 6","7 102 219 690",FALSE
1600,13,"1 2 5 14 22 9 24 25 7 12 18 38 3","7 105 207 696",FALSE
3104,14,"1 2 5 14 22 9 24 31 3 25 13 37 6 18","10 140 334 1236",FALSE
3105,14,"1 2 5 14 22 9 24 25 7 12 18 38 3 31","10 141 330 1236",FALSE
3106,14,"1 2 5 14 22 9 24 31 3 25 13 37 6 7","10 144 330 1209",FALSE
5763,15,"1 2 5 14 22 9 24 31 3 25 13 37 6 18 7","13 192 495 2055",FALSE
10067,16,"1 2 5 14 22 9 24 31 3 25 13 37 6 18 7 35","16 256 720 3288",FALSE
16541,17,"1 2 5 14 22 9 24 31 3 25 13 37 6 18 7 35 15","24 304 1096 4984",FALSE
25387,18,"1 2 5 14 22 9 24 31 3 25 13 37 15 23 16 34 6 38","30 369 1602 7443",FALSE
36526,19,"1 2 5 14 22 9 24 31 3 25 13 37 15 23 16 34 6 38 27","39 435 2313 10521",FALSE
49289,20,"1 2 5 14 22 9 24 31 3 25 13 37 15 23 16 34 6 38 27 8","51 519 3108 15051",FALSE
48963,21,"7 11 12 13 17 18 19 20 21 23 26 27 28 30 32 34 35 37 38 39 40","58 383 2220 10864",TRUE
35798,22,"7 11 12 13 17 18 19 20 21 23 26 27 28 29 30 32 34 35 37 38 39 40","48 300 1647 7449",TRUE
24493,23,"7 11 12 13 15 16 17 18 23 25 26 27 28 29 30 32 33 34 35 37 38 39 40","40 230 1196 4992",TRUE
15060,24,"3 6 7 8 10 12 13 16 17 18 19 20 23 27 28 30 32 33 34 35 36 37 39 40","32 174 855 3242",TRUE
15053,24,"3 4 6 8 12 13 16 17 18 19 20 23 26 27 28 29 30 31 32 34 37 38 39 40","32 168 864 3296",TRUE
8874,25,"3 4 6 7 11 12 13 16 17 19 20 21 23 25 26 28 30 32 33 34 35 36 37 38 39","26 126 594 2060",TRUE
